STATEFIPS,STATE,ZIPCODE,AGI_STUB,No_of_Returns,AGI,Returns__Tot_Income,Tot_Income,Returns_Sal_Wages,Sal_Wages_Amt
6,CA,93257,5,29000.0,1268333.0,29000.0,1279700.0,25710.0,968210.0
6,CA,93263,2,8680.0,419762.0,8680.0,423444.0,7950.0,343286.0
6,CA,93265,1,1770.0,141967.0,1770.0,143827.0,1200.0,81254.0
6,CA,93266,1,610.0,27370.0,610.0,27518.0002,580.0,21126.0
6,CA,93267,1,2290.0,85361.0,2290.0,86014.0001,2060.0,67400.0
6,CA,93268,2,5800.0,294430.0,5800.0,295976.0,5070.0,236455.0
6,CA,93270,1,2560.0,96401.0,2560.0,97640.0,2280.0,71693.0
6,CA,93271,1,1070.0,77700.0,1070.0,79086.0,690.0,41141.0
6,CA,93272,1,1270.0,59804.0,1270.0,60435.0002,1140.0,39506.0
6,CA,93274,5,29900.0,1575308.0,29890.0,1591732.0,26570.0,1189313.0
6,CA,93277,5,22260.0,1275660.0,22260.0,1291584.0,18550.0,914043.0
6,CA,93280,2,9160.0,369425.0,9160.0,371983.0,8560.0,316112.0
6,CA,93283,1,600.0,24148.0,600.0,24396.0002,440.0,15314.0
6,CA,93285,1,850.0,38434.0,850.0,38884.0001,520.0,20980.0
6,CA,93286,1,3790.0,158376.0,3790.0,159801.0001,3390.0,126129.0
6,CA,93291,5,24120.0,1651450.0,24120.0,1672578.0,21390.0,1226214.0
6,CA,93292,5,17710.0,1010478.0,17710.0,1022060.0,15240.0,769725.0
6,CA,93301,2,5400.0,278055.0,5400.0,282812.0,4580.0,182766.0
6,CA,93304,3,19260.0,661785.0,19250.0,666352.0001,17020.0,555586.0
6,CA,93305,2,12960.0,460276.0,12960.0,463621.0,11490.0,365210.0
6,CA,93306,5,29680.0,1580734.0,29680.0,1594578.0,25250.0,1160222.0
6,CA,93307,5,32240.0,1122081.0,32240.0,1130399.0,28810.0,949226.0
6,CA,93308,5,20550.0,1166814.0,20550.0,1177508.0,17380.0,859117.0
6,CA,93309,5,25360.0,1407120.0,25360.0,1421241.0,21280.0,952270.0
6,CA,93311,6,21830.0,2182418.0,21830.0,2212905.0,18520.0,1483030.0
6,CA,93312,6,24980.0,2107515.0,24980.0,2130764.0,21190.0,1614201.0
6,CA,93313,5,24110.0,1280354.0,24110.0,1292731.0,20790.0,1039345.0
6,CA,93314,5,13840.0,1490106.0,13840.0,1506845.0,11730.0,1089087.0
6,CA,93401,5,14610.0,1489867.0,14610.0,1522207.0,11390.0,851590.0
6,CA,93402,3,6930.0,536117.0,6930.0,545922.0,4840.0,285281.0
6,CA,93405,3,7790.0,722590.0,7790.0,733699.0,6110.0,405425.0
6,CA,93420,5,14110.0,1420077.0,14110.0,1445807.0,10090.0,743811.0
6,CA,93422,5,14940.0,1212948.0,14940.0,1231058.0,11680.0,766904.0
6,CA,93426,1,540.0,42083.0,540.0,42565.0002,400.0,24758.0
6,CA,93427,1,3140.0,247279.0,3140.0,251979.0,2550.0,169814.0
6,CA,93428,2,3320.0,342820.0,3320.0,348896.0,1910.0,98947.0
6,CA,93430,1,1500.0,142553.0,1500.0,145464.0,950.0,59741.0
6,CA,93432,1,710.0,59784.0,710.0,60616.0001,550.0,34484.0
6,CA,93433,2,6090.0,396396.0,6090.0,401082.0,4930.0,276846.0
6,CA,93434,1,3560.0,155494.0,3560.0,156359.0001,3300.0,134209.0
6,CA,93436,5,23420.0,1352472.0,23420.0,1364413.0,19860.0,977508.0
6,CA,93437,1,1250.0,65699.0,1250.0,66261.0,1230.0,63147.0
6,CA,93442,2,5560.0,418863.0,5560.0,426099.0,3780.0,216451.0
6,CA,93444,4,10730.0,912401.0,10730.0,924080.0,8090.0,503934.0
6,CA,93445,1,2970.0,151842.0,2970.0,153335.0001,2540.0,119007.0
6,CA,93446,5,20230.0,1510883.0,20230.0,1530942.0,16130.0,987745.0
6,CA,93449,2,4160.0,499624.0,4160.0,508291.0,2790.0,244234.0
6,CA,93450,1,260.0,22933.0,260.0,23002.0003,220.0,8765.0
6,CA,93451,1,2020.0,121416.0,2020.0,122842.0001,1730.0,88395.0
6,CA,93452,1,230.0,12601.0,230.0,12641.0004,190.0,7999.0
6,CA,93453,1,1300.0,97574.0,1300.0,98764.0001,990.0,60787.0
6,CA,93454,4,17710.0,892967.0,17710.0,901621.0,15450.0,655298.0
6,CA,93455,5,21000.0,1645832.0,21000.0,1664368.0,16990.0,1080006.0
6,CA,93458,4,24300.0,950006.0,24300.0,954870.0,22730.0,838222.0
6,CA,93460,2,2840.0,416571.0,2840.0,425196.0,1960.0,155208.0
6,CA,93461,1,640.0,31548.0,640.0,31920.0001,550.0,24023.0
6,CA,93463,2,3830.0,486487.0,3830.0,496566.0,2740.0,209439.0
6,CA,93465,3,5100.0,521531.0,5100.0,531729.0,3980.0,295333.0
6,CA,93501,1,1850.0,76423.0,1850.0,77016.0,1540.0,61072.0
6,CA,93505,1,4430.0,201494.0,4430.0,203274.0001,3600.0,157739.0
6,CA,93510,2,3720.0,331359.0,3720.0,335635.0,2870.0,231032.0
